DayOfWeekOfDeath,0,1,2,3,4,8
1,5.0,58.0,10.0,1.0,40.0,40.0
2,0.0,34.0,30.0,2.0,41.0,38.0
3,8.0,45.0,38.0,9.0,49.0,31.0
4,7.0,15.0,39.0,5.0,47.0,44.0
5,3.0,19.0,33.0,4.0,49.0,27.0
6,9.0,57.0,10.0,2.0,43.0,34.0
7,9.0,75.0,10.0,2.0,64.0,43.0
